"Reference:","B3472474"
"Date:","Wed Jun 15 2022 10:33:11 GMT+0200 (heure d’été d’Europe centrale)"
"Generated by:","Eurocircuits PCBA Visualizer"

"Reference designators","Quantity","MPN","Manufacturer","Description"
"D2","1","LTST-C193TBKT-5A","Lite-On","Blue 470nm LED Indication - Discrete 2.8V 0603 (1608 Metric)"
"D3","1","LTST-C191KRKT","Lite-On","Red 631nm LED Indication - Discrete 2V 0603 (1608 Metric)"
"C11, C32, C53, C56, C59, C512","6","C0603C103K5RACTU","Kemet","10000pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C12, C21, C22, C23, C24, C33, C51, C52, C54, C55, C57, C58, C63, C510, C511","15","C0603C104K5RAC3121","Kemet","Multilayer Ceramic Capacitors MLCC - SMD/SMT 50V .1uF X7R 0603 10% AEC-Q200"
"C13, C34","2","C0603C105K4RACTU","Kemet","CAP CER 1UF 16V X7R 0603"
"C31","1","C0603C124K5RACTU","Kemet","0.12µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"C61","1","EMK316BJ106KL8T","Taiyo Yuden","Capacitor Ceramic 10uF 16V X5R 10% SMD 1206 85°C Embossed T/R"
"C621, C622","2","EMK316BJ226KL-T","Taiyo Yuden","22µF ±10% 16V Ceramic Capacitor X5R 1206 (3216 Metric)"
"D1, D4","2","LTST-C193TGKT-5A","Lite-On","Green 528nm LED Indication - Discrete 2.8V 0603 (1608 Metric)"
"J01","1","CON-SOCJ-2155","Gravitech","DC Power Connectors Power Jack/Connector 2.1mm x 5.5mm"
"J11, J12","2","TFM-110-21-S-D","Samtec","Connector Header Through Hole 20 position 0.050"" (1.27mm)"
"J13","1","PPTC071LFBN-RC","Sullins Connector Solutions","7 Position Header Connector 0.100"" (2.54mm) Through Hole Tin"
"J14, J26, J34","3","61301221021","Wurth Elektronik","Connector Header Through Hole, Right Angle 12 position 0.100"" (2.54mm)"
"J21, J22, J23, J24, J25, J33","6","PPPC041LFBN-RC","Sullins Connector Solutions","4 Position Header Connector  Through Hole"
"J31","1","PPTC061LFBN-RC","Sullins Connector Solutions","6 Position Header Connector 0.100"" (2.54mm) Through Hole Tin"
"J32","1","110990030","Seeed Technology Co., Ltd","GROVE 2MM 4PIN CONN 10PACK"
"J51, J52, J53, J54","4","M20-9990246","Harwin Inc.","2 Positions Header, Cuttable Connector 0.100"" (2.54mm) Through Hole Tin"
"L61","1","SRP7020TA-3R3M","Bourns","Ind Power Shielded Wirewound 3.3uH 20% 100kHz 15 Q-Factor@100KHz Metal Composite 5A T/R"
"Q41, Q42, Q43","3","NXV55UNR","Nexperia","N-Channel 30 V 1.9A (Ta) 340mW (Ta), 2.1W (Tc) Surface Mount TO-236AB"
"Q51, Q52","2","MBT3904DW1T1G","ON Semiconductor","Bipolar (BJT) Transistor Array 2 NPN (Dual) 40V 200mA 300MHz 150mW Surface Mount SC-88/SC70-6/SOT-363"
"Q53, Q54, Q55, Q56","4","SI2304BDS-T1-E3","Vishay Siliconix","N-Channel 30V 2.6A (Ta) 750mW (Ta) Surface Mount SOT-23-3 (TO-236)"
"R21, R22, R23, R24, R25, R45, R46, R47, R54, R511, R518, R525","12","ESR10EZPF1000","Rohm","100 Ohm ±1% 0.4W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film"
"R31","1","ESR10EZPJ823","ROHM","Res Anti-surge 0805 82K Ohm 0.4W 5% SMD"
"R32","1","ESR10EZPF2002","ROHM","Res Thick Film 0805 20KOhm 1% 2/5W ±100ppm/°C Molded SMD Paper T/R"
"R41, R42, R44","3","ESR10EZPJ391","Rohm","390 Ohm ±5% 0.4W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film"
"R43","1","ESR10EZPJ621","ROHM","Res Thick Film 0805 620 Ohm 5% 0.4W ±200ppm/C Pad SMD Automotive T/R"
"R51, R55, R56, R58, R512, R513, R515, R519, R520, R522, R526, R527","12","ESR10EZPF1001","Rohm Semi","1 kOhms ±1% 0.4W, 2/5W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film"
"R52, R59, R62, R516, R523","5","ESR10EZPF1002","ROHM Semiconductor","10 kOhms ±1% 0.4W, 2/5W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film"
"R53, R510, R517, R524","4","ESR10EZPF1003","Rohm","100 kOhms ±1% 0.4W, 2/5W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film"
"R57, R514, R521, R528","4","ESR10EZPJ821","ROHM Semiconductor","820 Ohms ±5% 0.4W, 2/5W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film"
"R61","1","KTR10EZPF5232","ROHM","Res High Voltage 0805 52.3K Ohm 1/8W 1% SMD"
"U21, U22","2","TMUX1308PWR","Texas Instruments","1 Circuit IC Switch 8:1 195Ohm 16-TSSOP"
"U23, U24","2","SN74LV1T02DBVRG4","Texas Instruments","IC GATE NOR 1CH 2-INP SOT23-5"
"U31","1","ADC101C027CIMK/NOPB","Texas Instruments","10 Bit Analog to Digital Converter 1 Input 1 SAR TSOT-23-6"
"U61","1","AP62301WU-7","Diodes Inc.","Buck Switching Regulator IC Positive Adjustable 0.8V 1 Output 3A SOT-23-6 Thin, TSOT-23-6"
